name,file,n_points,chi2,chi2_over_n,Vmax_kms,Rmax_kpc
UGC02953,UGC02953_rotmod.dat,115,97478.977391,847.643282,319.000000,62.390000
NGC2403,NGC2403_rotmod.dat,73,72725.851383,996.244539,136.000000,20.870000
UGC06787,UGC06787_rotmod.dat,71,42346.952401,596.435949,276.000000,37.190000
UGC06786,UGC06786_rotmod.dat,45,23052.439958,512.276444,229.000000,34.050000
UGC02487,UGC02487_rotmod.dat,17,16201.096729,953.005690,383.000000,80.380000
NGC2841,NGC2841_rotmod.dat,50,12763.674330,255.273487,323.000000,63.640000
NGC5985,NGC5985_rotmod.dat,33,12185.922969,369.270393,305.000000,34.720000
UGC00128,UGC00128_rotmod.dat,22,8658.463139,393.566506,134.000000,53.750000
UGC09133,UGC09133_rotmod.dat,68,7311.749427,107.525727,289.000000,108.310000
UGC11914,UGC11914_rotmod.dat,65,6605.128083,101.617355,305.000000,9.830000
UGC05253,UGC05253_rotmod.dat,73,6460.577924,88.501067,248.000000,53.290000
UGC03205,UGC03205_rotmod.dat,48,6028.419201,125.592067,237.000000,40.040000
NGC6015,NGC6015_rotmod.dat,44,5923.847139,134.632890,166.000000,29.230000
NGC2903,NGC2903_rotmod.dat,34,5825.283117,171.331856,216.000000,24.960000
UGC05764,UGC05764_rotmod.dat,10,5681.995710,568.199571,55.800000,3.620000
NGC6503,NGC6503_rotmod.dat,31,5593.448003,180.433807,121.000000,23.500000
NGC6674,NGC6674_rotmod.dat,15,5496.510125,366.434008,291.000000,72.410000
UGC03546,UGC03546_rotmod.dat,30,5222.148712,174.071624,262.000000,29.230000
NGC5033,NGC5033_rotmod.dat,22,4370.153922,198.643360,225.000000,44.590000
NGC5055,NGC5055_rotmod.dat,28,3824.043711,136.572990,206.000000,54.590000
ESO563-G021,ESO563-G021_rotmod.dat,30,3546.786455,118.226215,321.000000,42.410000
NGC3198,NGC3198_rotmod.dat,43,3156.472129,73.406329,157.000000,44.080000
IC2574,IC2574_rotmod.dat,34,3106.499960,91.367646,67.500000,10.230000
UGC03580,UGC03580_rotmod.dat,47,2748.896027,58.487150,131.000000,27.060000
UGC02916,UGC02916_rotmod.dat,43,2647.443033,61.568443,218.000000,38.000000
NGC5907,NGC5907_rotmod.dat,19,2592.889320,136.467859,235.000000,50.330000
NGC7814,NGC7814_rotmod.dat,18,2573.116491,142.950916,265.000000,19.530000
UGC05716,UGC05716_rotmod.dat,12,2177.356285,181.446357,74.700000,12.370000
IC4202,IC4202_rotmod.dat,32,2140.064211,66.877007,250.000000,25.900000
UGC08699,UGC08699_rotmod.dat,41,1851.767344,45.165057,202.000000,25.700000
UGC08286,UGC08286_rotmod.dat,17,1775.091868,104.417169,84.300000,8.040000
UGC05986,UGC05986_rotmod.dat,15,1722.604838,114.840323,116.000000,9.410000
ESO079-G014,ESO079-G014_rotmod.dat,15,1493.696853,99.579790,178.000000,16.670000
UGC07399,UGC07399_rotmod.dat,10,1476.167982,147.616798,106.000000,6.130000
UGC02259,UGC02259_rotmod.dat,8,1350.829673,168.853709,90.000000,8.140000
NGC0247,NGC0247_rotmod.dat,26,1294.605134,49.792505,108.000000,14.540000
ESO116-G012,ESO116-G012_rotmod.dat,15,1206.488781,80.432585,112.000000,9.860000
NGC7331,NGC7331_rotmod.dat,36,1157.280622,32.146684,257.000000,36.310000
DDO154,DDO154_rotmod.dat,12,892.281225,74.356769,48.200000,5.920000
