galaxy,R_kpc,Vobs_kms,Verr_kms,Vmodel_kms,resid_kms,z,y,a_bar_mps2,a_vac_mid_mps2,a_vac_out_mps2
CamB,0.16,1.99,1.5,8.296936726300025,-6.306936726300025,-4.204624484200017,-1.751841096470511,2.124908088041714e-12,1.568484855414648e-12,1.0249889614064383e-11
CamB,0.41,4.84,1.5,15.582003100419072,-10.742003100419073,-7.161335400279381,-1.3832311971015419,4.965352083982455e-12,2.782775902574162e-12,1.144351565665256e-11
CamB,0.57,6.79,1.5,18.951507692610846,-12.161507692610847,-8.107671795073898,-1.32171844940387,5.720879452723729e-12,3.05851471410584e-12,1.1640906452575316e-11
CamB,0.73,8.87,1.5,21.852497480392,-12.982497480392,-8.654998320261333,-1.2858752318922932,6.2130666738937905e-12,3.231094593462634e-12,1.1755491730371321e-11
CamB,0.9,10.9,1.5,24.177928625960693,-13.277928625960692,-8.851952417307128,-1.2925990710763682,6.117615463818251e-12,3.198023486219753e-12,1.1734023102524299e-11
CamB,1.06,12.9,1.5,25.85148246575999,-12.95148246575999,-8.634321643839993,-1.321155215718709,5.728303637175385e-12,3.0611568202054076e-12,1.1642709641345548e-11
CamB,1.22,14.7,1.5,26.936768694358936,-12.236768694358936,-8.157845796239291,-1.3788766355465079,5.0153888545088644e-12,2.801482752002084e-12,1.1457517321119294e-11
CamB,1.47,16.8,1.5,28.527808727994575,-11.727808727994574,-7.818539151996383,-1.4532464967931094,4.226051150235345e-12,2.4979876261310974e-12,1.1217882551278169e-11
CamB,1.79,20.1,1.5,29.241881490835013,-9.141881490835011,-6.094587660556674,-1.6202550488508407,2.8769094791518544e-12,1.9273900076383735e-12,1.0676987061189593e-11
D564-8,0.51,8.54,1.53,14.726291912311,-6.186291912311001,-4.043328047262092,-1.7673608758622708,2.0503139670475505e-12,1.5306736850444207e-12,1.019954767473522e-11
D564-8,1.02,15.1,1.41,20.898241353428762,-5.798241353428763,-4.112227910233165,-1.7582023963113942,2.0940104744668915e-12,1.5528789015343994e-12,1.0229253537099522e-11
D564-8,1.53,19.8,1.8,24.816566450126352,-5.016566450126351,-2.786981361181306,-1.8420141937933252,1.7265018667311038e-12,1.360757281105305e-12,9.957660582509719e-12
D564-8,2.04,21.9,1.82,27.628769957883872,-5.728769957883873,-3.147675801035095,-1.9470049945516605,1.3557395059979322e-12,1.152305279361817e-12,9.618648356662786e-12
D564-8,2.56,24.0,1.89,29.854571794581677,-5.854571794581677,-3.0976570341701994,-2.0572912126579403,1.0516955429304885e-12,9.66693112440191e-13,9.264782664723285e-12
D564-8,3.07,25.0,2.05,31.680164279138392,-6.680164279138392,-3.258616721530923,-2.1590180331357027,8.320764163354391e-13,8.214011063307214e-13,8.941155769888354e-12
D631-7,0.45,8.41,1.58,18.601644540139628,-10.191644540139627,-6.450407936797232,-1.1409012659455644,8.675209672120727e-12,4.029372491522211e-12,1.2214935004120529e-11
D631-7,0.9,17.8,2.22,27.944039261688616,-10.144039261688615,-4.569387054814691,-1.0413957461190875,1.0909014020748938e-11,4.683291843138559e-12,1.2525751394612449e-11
D631-7,1.35,26.0,2.35,35.0286895913217,-9.028689591321701,-3.841995570775192,-1.0048057207431162,1.1867945008743392e-11,4.948401187370734e-12,1.26389549992001e-11
D631-7,1.8,30.9,2.22,39.03184102303989,-8.13184102303989,-3.66299145181977,-1.0612931445520584,1.0420489048276934e-11,4.544893736978805e-12,1.2463936013061672e-11
D631-7,2.25,34.7,1.82,41.45540964892815,-6.7554096489281505,-3.7117635433671157,-1.1466258642418161,8.561608835254895e-12,3.99454601973712e-12,1.2196931605120424e-11
D631-7,2.69,38.8,1.81,43.482900081507886,-4.6829000815078885,-2.587237614092756,-1.2195968704224809,7.237429989004344e-12,3.575145187254502e-12,1.1966399818947101e-11
D631-7,3.14,42.5,1.57,44.94515871467393,-2.44515871467393,-1.557425932913331,-1.3017207914437172,5.990463889767301e-12,3.1536776184774145e-12,1.1704878373386179e-11
D631-7,3.59,45.6,1.59,46.24966035797358,-0.6496603579735805,-0.4085914201091701,-1.3770361730759015,5.0366882766692035e-12,2.8094255157269248e-12,1.1463433934631075e-11
D631-7,4.04,48.8,1.83,47.414316759087164,1.385683240912833,0.7572039567829688,-1.4478089755472865,4.279295435564272e-12,2.519060854083963e-12,1.1235436827862694e-11
D631-7,4.49,51.8,1.91,48.337452191761315,3.462547808238682,1.8128522556223468,-1.5209490317012617,3.6160315774113514e-12,2.2494007358992554e-12,1.0998957215527287e-11
D631-7,4.94,54.8,2.19,49.22838231232732,5.571617687672678,2.5441176656039626,-1.5886443341621652,3.094118281920297e-12,2.0247394199511575e-12,1.0779550195963385e-11
D631-7,5.39,56.6,2.73,49.98889297980244,6.611107020197558,2.4216509231492886,-1.6567010455425433,2.6453320912270787e-12,1.8207450733492967e-12,1.0558689223754223e-11
D631-7,5.84,58.4,3.27,50.712371115909214,7.687628884090785,2.3509568452877017,-1.7215640369178682,2.27833304451475e-12,1.6448608165990745e-12,1.0348135909791356e-11
D631-7,6.29,58.5,3.95,51.38942453402162,7.110575465978378,1.8001456875894628,-1.7843410538228441,1.9716970752655836e-12,1.4903126697893685e-12,1.0144486876846032e-11
D631-7,6.74,57.7,4.07,52.03836532884547,5.6616346711545305,1.3910650297676979,-1.8445979285577012,1.7162609356663562e-12,1.3552155191781221e-12,9.94929900409281e-12
D631-7,7.19,57.3,3.94,52.649104313524404,4.650895686475593,1.1804303772780693,-1.9032808567419646,1.4993409040832548e-12,1.235064391590767e-12,9.75962454275181e-12
DDO064,0.1,6.29,4.62,4.853705442098728,1.436294557901272,0.31088626794399826,-2.759713366177639,2.086737784473227e-13,3.0910174042984733e-13,7.1170002788173366e-12
